Start time = 1674613406889;
Timestamp;PPI
1674613416758;338
1674613417994;1236
1674613418730;736
1674613419606;876
1674613420388;782
1674613421141;753
1674613421918;777
1674613422668;750
1674613423394;726
1674613424140;746
1674613424913;773
1674613425710;797
1674613426425;715
1674613427191;766
1674613427934;743
1674613428723;789
1674613429463;740
1674613430206;743
1674613430938;732
1674613431649;711
1674613432337;688
1674613433042;705
1674613433748;706
1674613434479;731
1674613435166;687
1674613436071;905
1674613436640;569
1674613437368;728
1674613438036;668
1674613438736;700
1674613439457;721
1674613440223;766
1674613440990;767
1674613441706;716
1674613442472;766
1674613443245;773
1674613443989;744
1674613444763;774
1674613445491;728
1674613446235;744
1674613446968;733
1674613447731;763
1674613448474;743
1674613449252;778
1674613450047;795
1674613450833;786
1674613451588;755
1674613452354;766
1674613453128;774
1674613453906;778
1674613454681;775
1674613455456;775
1674613456221;765
1674613456976;755
1674613457746;770
1674613458529;783
1674613459301;772
1674613460100;799
1674613460888;788
1674613461690;802
1674613462451;761
1674613463218;767
1674613463989;771
1674613464759;770
1674613465519;760
1674613466268;749
1674613467029;761
1674613467819;790
1674613468618;799
1674613469408;790
1674613470226;818
1674613471064;838
1674613471907;843
1674613472758;851
1674613473602;844
1674613474450;848
1674613475253;803
1674613476068;815
1674613476878;810
1674613477671;793
1674613478471;800
1674613479299;828
1674613480145;846
1674613480962;817
1674613481803;841
1674613482648;845
1674613483472;824
1674613484303;831
1674613485162;859
1674613486017;855
1674613486816;799
1674613487656;840
1674613488523;867
1674613489351;828
1674613490176;825
1674613491007;831
1674613491852;845
1674613492648;796
1674613493474;826
1674613494310;836
1674613495149;839
1674613495988;839
1674613496853;865
1674613497721;868
1674613498519;798
1674613499330;811
1674613500144;814
1674613500931;787
1674613501712;781
1674613502521;809
1674613503338;817
1674613504122;784
1674613504896;774
1674613505664;768
1674613506440;776
1674613507196;756
1674613508020;824
1674613508849;829
1674613509688;839
1674613510519;831
1674613511373;854
1674613512267;894
1674613513135;868
1674613513985;850
1674613514807;822
1674613515629;822
1674613516391;762
1674613517160;769
1674613517929;769
1674613518740;811
1674613519520;780
1674613520358;838
1674613521247;889
1674613522148;901
1674613523043;895
1674613523966;923
1674613524896;930
1674613525780;884
1674613526694;914
1674613527617;923
1674613528466;849
1674613529334;868
1674613530230;896
1674613531080;850
1674613531907;827
1674613532751;844
1674613533610;859
1674613534450;840
1674613535307;857
1674613536158;851
1674613537013;855
1674613537819;806
1674613538661;842
1674613539521;860
1674613540385;864
1674613541204;819
1674613542003;799
1674613542829;826
1674613543600;771
1674613544410;810
1674613545240;830
1674613546112;872
1674613546975;863
1674613547894;919
1674613548802;908
1674613549640;838
1674613550465;825
1674613551284;819
1674613552085;801
1674613552894;809
1674613553742;848
1674613554634;892
1674613555464;830
1674613556355;891
1674613557262;907
1674613558090;828
1674613558912;822
1674613559683;771
1674613560421;738
1674613561112;691
1674613561795;683
1674613562478;683
1674613563213;735
1674613564013;800
1674613564826;813
1674613565603;777
1674613566412;809
1674613567242;830
1674613568109;867
1674613568931;822
1674613569758;827
1674613570577;819
1674613571398;821
1674613572183;785
1674613573018;835
1674613573883;865
1674613574719;836
1674613575530;811
1674613576350;820
1674613577195;845
1674613578005;810
1674613578832;827
1674613579674;842
1674613580543;869
1674613581345;802
1674613582186;841
1674613583040;854
1674613583885;845
1674613584715;830
1674613585557;842
1674613586433;876
1674613587251;818
1674613588096;845
1674613588961;865
1674613589796;835
1674613590642;846
1674613591525;883
1674613592399;874
1674613593276;877
1674613594166;890
1674613595062;896
1674613595879;817
1674613596680;801
1674613597465;785
1674613598250;785
1674613599030;780
1674613599837;807
1674613600657;820
1674613601464;807
1674613602278;814
1674613603089;811
1674613603873;784
1674613604660;787
1674613605465;805
1674613606291;826
1674613607094;803
1674613607938;844
1674613608793;855
1674613609601;808
1674613610453;852
1674613611301;848
1674613612148;847
1674613612963;815
1674613613751;788
1674613614902;1151
1674613616060;1158
1674613616745;685
1674613617392;647
1674613618093;701
1674613618913;820
1674613619781;868
1674613620692;911
1674613621621;929
1674613622515;894
1674613623394;879
1674613624226;832
1674613625022;796
1674613625800;778
1674613626569;769
1674613627330;761
1674613628088;758
1674613628867;779
1674613629649;782
1674613630436;787
1674613631238;802
1674613632032;794
1674613632822;790
1674613633602;780
1674613634388;786
1674613635175;787
1674613635969;794
1674613636799;830
1674613637671;872
1674613638559;888
1674613639426;867
1674613640296;870
1674613641156;860
1674613641968;812
