Start time = 1674615698931;
Timestamp;PPI
1674615714211;775
1674615715007;796
1674615715809;802
1674615716641;832
1674615717435;794
1674615718218;783
1674615718971;753
1674615719752;781
1674615720454;702
1674615721232;778
1674615721961;729
1674615722716;755
1674615723432;716
1674615724156;724
1674615724920;764
1674615725642;722
1674615726342;700
1674615727065;723
1674615727798;733
1674615728546;748
1674615729256;710
1674615730006;750
1674615730842;836
1674615731563;721
1674615732343;780
1674615733109;766
1674615733870;761
1674615734654;784
1674615735437;783
1674615736200;763
1674615737000;800
1674615737820;820
1674615738653;833
1674615739464;811
1674615740285;821
1674615741102;817
1674615741905;803
1674615742711;806
1674615743526;815
1674615744369;843
1674615745183;814
1674615746019;836
1674615746861;842
1674615747707;846
1674615748519;812
1674615749344;825
1674615750196;852
1674615751040;844
1674615751894;854
1674615752731;837
1674615753555;824
1674615754370;815
1674615755191;821
1674615756019;828
1674615756812;793
1674615757624;812
1674615758442;818
1674615759243;801
1674615760029;786
1674615760820;791
1674615761622;802
1674615762389;767
1674615763165;776
1674615763984;819
1674615764780;796
1674615765566;786
1674615766344;778
1674615767153;809
1674615767920;767
1674615768698;778
1674615769491;793
1674615770273;782
1674615771037;764
1674615771817;780
1674615772625;808
1674615773399;774
1674615774166;767
1674615774940;774
1674615775724;784
1674615776467;743
1674615777231;764
1674615778015;784
1674615778814;799
1674615779570;756
1674615780356;786
1674615781137;781
1674615781911;774
1674615782672;761
1674615783431;759
1674615784210;779
1674615784955;745
1674615785702;747
1674615786472;770
1674615787234;762
1674615788003;769
1674615788801;798
1674615789613;812
1674615790399;786
1674615791188;789
1674615791989;801
1674615792754;765
1674615793529;775
1674615794300;771
1674615795083;783
1674615795835;752
1674615796590;755
1674615797340;750
1674615798113;773
1674615798856;743
1674615799615;759
1674615800398;783
1674615801198;800
1674615801975;777
1674615802787;812
1674615803619;832
1674615804403;784
1674615805190;787
1674615805967;777
1674615806747;780
1674615807512;765
1674615808289;777
1674615809070;781
1674615809841;771
1674615810597;756
1674615811365;768
1674615812170;805
1674615812964;794
1674615813790;826
1674615814602;812
1674615815360;758
1674615816120;760
1674615816876;756
1674615817626;750
1674615818359;733
1674615819118;759
1674615819908;790
1674615820649;741
1674615821416;767
1674615822192;776
1674615822951;759
1674615823729;778
1674615824539;810
1674615825297;758
1674615826071;774
1674615826848;777
1674615827620;772
1674615828375;755
1674615829133;758
1674615829902;769
1674615830634;732
1674615831359;725
1674615832094;735
1674615832844;750
1674615833615;771
1674615834386;771
1674615835173;787
1674615835952;779
1674615836704;752
1674615837473;769
1674615838256;783
1674615839053;797
1674615839849;796
1674615840653;804
1674615841466;813
1674615842278;812
1674615843053;775
1674615843861;808
1674615844661;800
1674615845407;746
1674615846170;763
1674615846970;800
1674615847738;768
1674615848542;804
1674615849362;820
1674615850164;802
1674615850956;792
1674615851729;773
1674615852473;744
1674615853223;750
1674615853962;739
1674615854676;714
1674615855401;725
1674615856143;742
1674615856876;733
1674615857588;712
1674615858324;736
1674615859066;742
1674615859816;750
1674615860558;742
1674615861292;734
1674615862048;756
1674615862805;757
1674615863552;747
1674615864321;769
1674615865082;761
1674615865834;752
1674615866587;753
1674615867322;735
1674615868071;749
1674615868789;718
1674615869524;735
1674615870266;742
1674615870994;728
1674615871722;728
1674615872478;756
1674615873223;745
1674615873949;726
1674615874705;756
1674615875469;764
1674615876216;747
1674615876936;720
1674615877671;735
1674615878424;753
1674615879166;742
1674615879901;735
1674615880644;743
1674615881398;754
1674615882134;736
