Start time = 1674614052227;
Timestamp;PPI
1674614063627;727
1674614064677;1050
1674614065408;731
1674614066187;779
1674614067104;917
1674614067659;555
1674614068371;712
1674614069105;734
1674614069816;711
1674614070573;757
1674614071313;740
1674614072047;734
1674614072869;822
1674614073542;673
1674614074266;724
1674614075094;828
1674614075827;733
1674614076645;818
1674614077443;798
1674614078225;782
1674614079034;809
1674614079777;743
1674614080514;737
1674614081230;716
1674614081960;730
1674614082708;748
1674614083403;695
1674614084120;717
1674614084866;746
1674614086311;1445
1674614087247;936
1674614088646;1399
1674614089256;610
1674614089967;711
1674614090717;750
1674614091461;744
1674614092200;739
1674614092958;758
1674614093717;759
1674614094449;732
1674614095196;747
1674614095990;794
1674614097108;1118
1674614098217;1109
1674614099610;1393
1674614100070;460
1674614101020;950
1674614101755;735
1674614102443;688
1674614103139;696
1674614103869;730
1674614104590;721
1674614105326;736
1674614106074;748
1674614106821;747
1674614107571;750
1674614108316;745
1674614109053;737
1674614109811;758
1674614110578;767
1674614111374;796
1674614112075;701
1674614112833;758
1674614113580;747
1674614114338;758
1674614115081;743
1674614115817;736
1674614116552;735
1674614117306;754
1674614118036;730
1674614118773;737
1674614119516;743
1674614120292;776
1674614121050;758
1674614121819;769
1674614122604;785
1674614123417;813
1674614124206;789
1674614125005;799
1674614125816;811
1674614126619;803
1674614127388;769
1674614128144;756
1674614128901;757
1674614129667;766
1674614130448;781
1674614131220;772
1674614132003;783
1674614132810;807
1674614133652;842
1674614134494;842
1674614135338;844
1674614136192;854
1674614137023;831
1674614137839;816
1674614138682;843
1674614139510;828
1674614140322;812
1674614141110;788
1674614141908;798
1674614142676;768
1674614143445;769
1674614144223;778
1674614145021;798
1674614145817;796
1674614146617;800
1674614147412;795
1674614148234;822
1674614149035;801
1674614149863;828
1674614150713;850
1674614151528;815
1674614152350;822
1674614153184;834
1674614154007;823
1674614154804;797
1674614155602;798
1674614156415;813
1674614157214;799
1674614157997;783
1674614158798;801
1674614159584;786
1674614160352;768
1674614161113;761
1674614161886;773
1674614162660;774
1674614163419;759
1674614164190;771
1674614164972;782
1674614165739;767
1674614166493;754
1674614167221;728
1674614168002;781
1674614168740;738
1674614169582;842
1674614170304;722
1674614171081;777
1674614171815;734
1674614172567;752
1674614173326;759
1674614174099;773
1674614174868;769
1674614175609;741
1674614176338;729
1674614177052;714
1674614177768;716
1674614178475;707
1674614179197;722
1674614179931;734
1674614180685;754
1674614181464;779
1674614182251;787
1674614183071;820
1674614183915;844
1674614184737;822
1674614185566;829
1674614186381;815
1674614187208;827
1674614187983;775
1674614188772;789
1674614189556;784
1674614190327;771
1674614191099;772
1674614191869;770
1674614192647;778
1674614193404;757
1674614194176;772
1674614194957;781
1674614195748;791
1674614196520;772
1674614197302;782
1674614198096;794
1674614198881;785
1674614199649;768
1674614200420;771
1674614201192;772
1674614201965;773
1674614202710;745
1674614203481;771
1674614204281;800
1674614205044;763
1674614205828;784
1674614206633;805
1674614207437;804
1674614208218;781
1674614209006;788
1674614209783;777
1674614210555;772
1674614211307;752
1674614212082;775
1674614212858;776
1674614213617;759
1674614214385;768
1674614215153;768
1674614215931;778
1674614216695;764
1674614217438;743
1674614218181;743
1674614218954;773
1674614219710;756
1674614220455;745
1674614221219;764
1674614221992;773
1674614222766;774
1674614223534;768
1674614224321;787
1674614225141;820
1674614225933;792
1674614226740;807
1674614227552;812
1674614228339;787
1674614229135;796
1674614229920;785
1674614230711;791
1674614231473;762
1674614232244;771
1674614233026;782
1674614233806;780
1674614234576;770
1674614235344;768
1674614236125;781
1674614236908;783
1674614237663;755
1674614238414;751
1674614239185;771
1674614239928;743
1674614240659;731
1674614241405;746
1674614242156;751
1674614242895;739
1674614243651;756
1674614244415;764
1674614245191;776
1674614245940;749
1674614246706;766
1674614247484;778
1674614248250;766
1674614248988;738
1674614249749;761
1674614250507;758
1674614251268;761
1674614252006;738
1674614252765;759
1674614253547;782
1674614254327;780
1674614255092;765
1674614255864;772
1674614256646;782
1674614257437;791
1674614258202;765
1674614258978;776
1674614259747;769
1674614260499;752
1674614261883;1384
1674614262754;871
1674614264090;1336
1674614264657;567
1674614265235;578
1674614266218;983
1674614266928;710
1674614267650;722
1674614268420;770
1674614269173;753
1674614269953;780
1674614270743;790
1674614271514;771
1674614272270;756
1674614273034;764
1674614273802;768
1674614274600;798
1674614275415;815
1674614276239;824
1674614277074;835
1674614277928;854
1674614278779;851
1674614279627;848
1674614280482;855
1674614281335;853
1674614282185;850
1674614283044;859
1674614283870;826
1674614284699;829
1674614285545;846
1674614286384;839
1674614287187;803
1674614287999;812
1674614288827;828
1674614289652;825
1674614290475;823
1674614291313;838
1674614292151;838
1674614292958;807
1674614293751;793
1674614294527;776
1674614295297;770
1674614296038;741
1674614296789;751
1674614297538;749
1674614298287;749
1674614299016;729
1674614299755;739
1674614300515;760
1674614301295;780
1674614302054;759
1674614302825;771
1674614303598;773
1674614304374;776
1674614305122;748
1674614305884;762
1674614306657;773
1674614307438;781
1674614308238;800
1674614309033;795
1674614309845;812
1674614310650;805
1674614311470;820
1674614312282;812
1674614313050;768
1674614313826;776
1674614314597;771
1674614315325;728
1674614316074;749
1674614316840;766
1674614317642;802
1674614318415;773
1674614319220;805
1674614320052;832
1674614320865;813
1674614321709;844
1674614322547;838
1674614323363;816
1674614324195;832
1674614325045;850
1674614325868;823
1674614326664;796
1674614327459;795
1674614328257;798
1674614329017;760
1674614329779;762
1674614330531;752
1674614331292;761
1674614332043;751
1674614332807;764
1674614333597;790
1674614334378;781
1674614335168;790
1674614335968;800
1674614336775;807
1674614337558;783
1674614338356;798
1674614339149;793
1674614339925;776
1674614340705;780
1674614341485;780
1674614342269;784
1674614343012;743
1674614343778;766
1674614344561;783
1674614345341;780
1674614346107;766
1674614346892;785
1674614347695;803
1674614348466;771
1674614349239;773
1674614350010;771
1674614350782;772
1674614351536;754
1674614352307;771
1674614353102;795
1674614353878;776
1674614354673;795
1674614355480;807
1674614356271;791
1674614357039;768
1674614357800;761
1674614358563;763
1674614359302;739
1674614360049;747
1674614360802;753
1674614361566;764
1674614362324;758
1674614363091;767
1674614363887;796
1674614364674;787
1674614365444;770
1674614366235;791
1674614367052;817
1674614367846;794
1674614368637;791
1674614369421;784
1674614370211;790
1674614370972;761
1674614371734;762
1674614372503;769
1674614373271;768
1674614374011;740
1674614374770;759
1674614375560;790
1674614376352;792
1674614377115;763
1674614377894;779
1674614378680;786
