Start time = 1674615216524;
Timestamp;PPI
1674615229963;1020
1674615230766;803
1674615231669;903
1674615232348;679
1674615233178;830
1674615233937;759
1674615234704;767
1674615235460;756
1674615236234;774
1674615236976;742
1674615237715;739
1674615238423;708
1674615239173;750
1674615239979;806
1674615240745;766
1674615241500;755
1674615242278;778
1674615243046;768
1674615243786;740
1674615244200;414
1674615244865;665
1674615246078;1213
1674615246880;802
1674615248323;1443
1674615249108;785
1674615249698;590
1674615250643;945
1674615251409;766
1674615252250;841
1674615252893;643
1674615253546;653
1674615254614;1068
1674615255436;822
1674615256290;854
1674615257144;854
1674615257801;657
1674615258777;976
1674615259592;815
1674615260477;885
1674615261192;715
1674615262012;820
1674615262562;550
1674615263305;743
1674615263866;561
1674615264585;719
1674615265181;596
1674615265870;689
1674615266640;770
1674615267397;757
1674615268205;808
1674615269033;828
1674615269853;820
1674615270700;847
1674615271556;856
1674615272407;851
1674615273075;668
1674615274048;973
1674615274950;902
1674615275703;753
1674615276497;794
1674615277301;804
1674615278031;730
1674615278827;796
1674615279564;737
1674615280345;781
1674615281881;1536
1674615282710;829
1674615283770;1060
1674615284287;517
1674615285031;744
1674615285821;790
1674615286591;770
1674615287303;712
1674615288036;733
1674615288783;747
1674615289551;768
1674615290296;745
1674615291069;773
1674615291847;778
1674615292685;838
1674615293427;742
1674615294182;755
1674615294960;778
1674615295711;751
1674615296479;768
1674615297258;779
1674615298030;772
1674615298796;766
1674615299567;771
1674615300502;935
1674615301108;606
1674615301825;717
1674615302586;761
1674615303417;831
1674615304045;628
1674615304531;486
1674615304946;415
1674615305615;669
1674615306498;883
1674615307292;794
1674615308098;806
1674615308922;824
1674615309702;780
1674615310407;705
1674615311267;860
1674615312056;789
1674615312817;761
1674615313601;784
1674615314196;595
1674615315230;1034
1674615316736;1506
1674615317585;849
1674615319128;1543
1674615320000;872
1674615320742;742
1674615321518;776
1674615322289;771
1674615323073;784
1674615323811;738
1674615324557;746
1674615325532;975
1674615326125;593
1674615326827;702
1674615327576;749
1674615328340;764
1674615329107;767
1674615329828;721
1674615330574;746
1674615331415;841
1674615332078;663
1674615332815;737
1674615333625;810
1674615334470;845
1674615335305;835
1674615336130;825
1674615336967;837
1674615337780;813
1674615338522;742
1674615339296;774
1674615340053;757
1674615340773;720
1674615341492;719
1674615342230;738
1674615342993;763
1674615343761;768
1674615344574;813
1674615345426;852
1674615346322;896
1674615347172;850
1674615347955;783
1674615349517;1562
1674615350309;792
1674615351113;804
1674615351915;802
1674615352714;799
1674615353551;837
1674615354503;952
1674615355223;720
1674615356046;823
1674615356572;526
1674615357023;451
1674615357670;647
1674615358443;773
1674615359235;792
1674615360075;840
1674615361066;991
1674615361640;574
1674615362566;926
1674615363311;745
1674615364120;809
1674615364929;809
1674615365725;796
1674615366517;792
1674615367291;774
1674615368052;761
1674615368815;763
1674615369580;765
1674615370352;772
1674615371005;653
1674615371861;856
1674615372631;770
1674615373392;761
1674615374151;759
1674615374886;735
1674615375664;778
1674615376523;859
1674615377211;688
