section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,1,1674613419594585367,1674613420174585367,580,505.187,611.871,-3.0791161238440083,-7.252091764418996
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,2,1674613420498562367,1674613420586563367,88,470.672,627.369,-5.704110759186361,-8.409199614921521
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,3,1674613420730512367,1674613420830544367,100,435.34,605.785,-8.364965983614285,-6.771517342442491
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,4,1674613420942536367,1674613422182580367,1240,454.193,644.705,-6.971312895166437,-9.705266761875325
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,5,1674613422222550367,1674613422462566367,240,456.113,750.192,-6.981344924730658,-17.63243810803962
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,6,1674613422646595367,1674613423078547367,431,577.262,398.884,2.3884352195186644,8.812654889597262
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,7,1674613423126551367,1674613423310556367,184,596.975,563.69,3.8590366211966733,-3.6201977200386057
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,8,1674613423674637367,1674613424386542367,711,562.447,802.357,1.3125213604203434,-21.602019770491673
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,9,1674613424414550367,1674613425510564367,1096,580.418,776.845,2.7108034581722644,-19.674298952522257
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,10,1674613425790742367,1674613427302581367,1511,567.087,768.469,1.661156209323921,-19.048059108369202
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,11,1674613427462665367,1674613427542564367,79,540.734,231.739,-0.40565328441701815,21.46386800570443
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,12,1674613427594595367,1674613427722713367,128,536.946,272.935,-0.6955685861878831,18.339868457397507
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,13,1674613427750684367,1674613428406564367,655,539.506,464.597,-0.47763631353779473,3.85305339232871
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,14,1674613428426586367,1674613429598583367,1171,564.556,522.203,1.4113039902474318,-0.494094406948422
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,15,1674613429862589367,1674613430058567367,195,533.323,516.056,-0.9428464334743234,-0.030410087826097585
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,16,1674613430118610367,1674613430314759367,196,673.729,633.386,9.711711966647949,-8.831969711711688
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,17,1674613430378582367,1674613431674544367,1295,665.544,759.376,9.335280866667379,-18.28602521144146
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,18,1674613431770593367,1674613432694557367,923,494.762,467.456,-3.855228215431017,3.6349284681266694
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,19,1674613432730635367,1674613432842593367,111,540.672,524.055,-0.3889368402436227,-0.6338786759686321
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,20,1674613432942585367,1674613433010610367,68,487.78,830.257,-4.643118331883507,-23.684251012209607
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,21,1674613433142599367,1674613433790565367,647,357.874,738.137,-14.57708415191733,-16.59197145711196
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,22,1674613433878568367,1674613434138566367,259,471.41,417.305,-5.6431846896552305,7.4129537846521725
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,23,1674613434166559367,1674613434662620367,496,528.357,442.682,-1.3216235803473901,5.507144170039672
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,24,1674613434690611367,1674613435458607367,767,566.614,437.728,1.5722217327701635,5.880880236915711
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,25,1674613435595189367,1674613435946563367,351,740.224,759.584,15.159529226147418,-18.173548962380327
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,26,1674613436034636367,1674613436882540367,847,518.256,477.573,-2.0805514222839,2.8731274784569707
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,27,1674613436982535367,1674613437210575367,228,732.938,752.525,14.561577409286231,-17.662468586856875
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,28,1674613437290574367,1674613442834631367,5544,540.866,488.594,-0.37445816623761535,2.0418811861773003
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,29,1674613442918591367,1674613443386570367,467,459.748,451.385,-6.505600373934502,4.84123654555821
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,30,1674613443434904367,1674613447810596367,4375,544.562,486.643,-0.09578896056412126,2.1890959529258995
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,31,1674613447910584367,1674613454638576367,6727,535.311,523.582,-0.7929828540406465,-0.598174887382422
53772391-dcb4-4f9e-8a32-b7485d889cf6,70eb634e-b0f0-4b5d-953b-bdb18e9bcf8a,32,1674613454674557367,1674613456190549367,1515,517.232,541.389,-2.156329238976008,-1.9409440692730269
