section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,1,1674614059819933632,1674614059940131632,120,355.446,746.341,-14.798426852659516,-17.198745039444066
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,2,1674614060120058632,1674614060843985632,723,422.197,646.215,-9.407503974205946,-9.798292688327964
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,3,1674614060875979632,1674614061256005632,380,403.155,703.307,-10.97159164560545,-14.058239398206654
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,4,1674614061296042632,1674614062184119632,888,403.064,635.724,-10.847167343615544,-8.997423303155601
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,5,1674614062527949632,1674614063315981632,788,567.054,894.968,1.7434757291634515,-28.591786368300387
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,6,1674614063340039632,1674614063907979632,567,571.239,840.697,2.037311192302968,-24.490020239237055
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,7,1674614063927987632,1674614064087982632,159,522.529,810.763,-1.8508755695323584,-22.234211709095735
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,8,1674614064156035632,1674614065859956632,1703,530.181,795.708,-1.236871709153996,-21.10152706761445
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,9,1674614065952014632,1674614066167995632,215,452.906,547.096,-7.007586965325425,-2.364955917519652
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,10,1674614066207964632,1674614066600007632,392,467.137,560.529,-5.937594179789901,-3.378186881951245
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,11,1674614066687970632,1674614066855993632,168,513.4,391.977,-2.4676444433324116,9.334467830784988
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,12,1674614066883986632,1674614067051982632,167,568.744,434.451,1.7338639615492115,6.1281300851748455
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,13,1674614067091999632,1674614069040101632,1948,610.652,460.291,4.894882164343515,4.173486560643918
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,14,1674614069092001632,1674614073363967632,4271,546.771,505.417,0.07082496036556954,0.7723198654990787
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,15,1674614073412009632,1674614076048006632,2635,548.215,502.431,0.17967671479716477,0.9976756614781055
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,16,1674614076104006632,1674614077519974632,1415,488.783,502.79,-4.300611468925473,0.9700808208177961
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,17,1674614077540000632,1674614078292051632,752,581.471,499.041,2.6867274566853205,1.253153135225453
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,18,1674614078431993632,1674614079047982632,615,626.572,502.564,6.085970192399115,0.9865671884478038
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,19,1674614079248059632,1674614079307941632,59,761.173,726.585,16.643828815406188,-15.676187126830664
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,20,1674614079555995632,1674614079763996632,208,297.956,729.1,-19.182250048113797,-15.796598522779089
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,21,1674614079795982632,1674614079956006632,160,302.902,719.174,-18.752976676119136,-15.073076012221222
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,22,1674614080116015632,1674614081063986632,947,642.705,544.102,7.303448861180495,-2.1389028539241663
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,23,1674614081368016632,1674614081479974632,111,561.753,832.09,1.2714567986966208,-23.843750822058794
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,24,1674614081508048632,1674614081615976632,107,574.991,869.315,2.367611207131714,-26.64875919055146
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,25,1674614081640052632,1674614082220011632,579,529.305,849.991,-1.3346936467267763,-25.194768916586558
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,26,1674614082252096632,1674614083116012632,863,548.827,835.016,0.23761808713468613,-24.066428484753136
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,27,1674614083139985632,1674614084088024632,948,573.505,838.841,2.2175735253494535,-24.34910513446436
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,28,1674614084148022632,1674614084424016632,275,558.204,714.818,0.9529843543548432,-15.009673813634524
0b08125e-74ca-42e8-871e-da1ef6916c18,3c7fdc8f-6651-4e56-bb77-25f7ec273dc7,29,1674614084463988632,1674614084608024632,144,554.246,812.393,0.6660785219376589,-22.359926398274894
