section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,1,1674615225310710243,1674615225578744243,268,449.691,653.69,-7.3238994997626055,-10.377830425593379
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,2,1674615225758646243,1674615226574669243,816,435.197,694.086,-8.490790484343213,-13.400376380709346
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,3,1674615226594681243,1674615227074692243,480,411.858,740.22,-10.395825106983281,-16.833593633975187
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,4,1674615227110650243,1674615227382671243,272,414.763,689.004,-10.048484967461514,-12.999780645762597
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,5,1674615227514647243,1674615227702732243,188,669.253,495.622,9.304166593166581,1.5067071008816244
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,6,1674615227734665243,1674615227834673243,100,657.22,437.002,8.426866408060608,5.916416348309606
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,7,1674615227858697243,1674615227978689243,119,592.106,419.636,3.507275072619187,7.2434553313337675
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,8,1674615228030695243,1674615228174677243,143,674.312,523.424,9.682595436271484,-0.5812354425076721
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,9,1674615228454684243,1674615228530875243,76,524.97,958.349,-1.7860963312626947,-33.40232064530927
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,10,1674615228566712243,1674615228967339243,400,542.02,878.003,-0.31432054108530205,-27.312680110034183
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,11,1674615229002904243,1674615229410614243,407,506.321,779.919,-3.103181158253466,-19.90438270913798
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,12,1674615229478649243,1674615229578661243,100,539.607,903.614,-0.518536931226227,-29.250394355372922
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,13,1674615229618666243,1674615230494633243,875,580.494,916.176,2.881487347966156,-30.190889980691388
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,14,1674615230694680243,1674615232086693243,1392,580.594,914.147,2.886721345608229,-30.037093112542497
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,15,1674615232366897243,1674615232502653243,135,540.203,311.192,-0.43605155180993393,15.443839602595926
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,16,1674615232542646243,1674615233278653243,736,591.063,432.282,3.4236507156396208,6.289219741033053
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,17,1674615233318644243,1674615233578691243,260,603.102,523.623,4.3163753790292105,-0.6002689865951155
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,18,1674615233610694243,1674615234434676243,823,656.198,519.192,8.317527660332447,-0.2644381562828777
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,19,1674615234634681243,1674615235282681243,648,664.725,488.301,8.964845691497281,2.0572432467350796
a8ae978d-5df9-4ae9-a8cb-577a699acbb6,e41cb132-2e09-4d34-9351-54c7a8b00aaa,20,1674615235334867243,1674615236010689243,675,503.536,463.025,-3.193749631326677,3.970029538786276
