conference;full;X1;X2;X3;X4;X5;X6;X7;X8;X9;Y;Y1
ICLR;International Conference on Learning Representations;11;1;1;2;55;146;12;1;36,16666667;55,20464264;1
KDD;ACM SIGKDD Conference on Knowledge Discovery and Data Mining;29;1;1;2;58;126;8;0;32,5;37,8534202;1
S&P; IEEE Symposium on Security and Privacy;44;1;1;7;19;25;3;1;9,333333333;36,22365805;1
WSDM;International Conference on Web Search and Data Mining;16;1;1;3;28;86;9;0;21,16666667;31,00735294;1
EMNLP;Empirical Methods in Natural Language Processing;28;1;1;2;14;26;0;0;7,166666667;28,19075331;1
ECCV;European Conference on Computer Vision;34;1;2;1;79;153;15;1;41,83333333;25,61605117;1
ICRA;The International Conference on Robotics and Automation;40;1;1;2;74;139;5;0;36,83333333;18,92928177;1
EACL;Conference of the European Chapter of the Association for Computational Linguistics;41;1;3;2;32;57;0;1;15,83333333;16,6809816;1
RSS;Robotics: Science and Systems;17;0;1;3;48;132;10;1;32,5;16,38198758;1
RecSys;the ACM Conference on Recommender Systems;17;1;1;3;38;81;9;1;22,16666667;16,01954887;1
SIGIR;International ACM SIGIR Conference on Research and Development in Information Retrieval;46;1;1;3;10;15;0;0;4,833333333;15,2657247;1
VLDB;Very Large Data Bases;49;1;1;1;52;94;1;1;25;15,11388685;1
CoNLL;Conference on Computational Natural Language Learning;25;0;1;1;16;33;0;0;8,5;14,6375;1
AAAI;AAAI Conference on Artificial Intelligence;44;1;3;1;95;143;0;1;40,5;14,38868132;1
UIST;The ACM Symposium on User Interface Software and Technology;36;1;1;1;21;41;0;0;10,66666667;14,05354331;1
SDM;SIAM International Conference on Data Mining;23;1;1;2;29;78;2;0;18,66666667;13,81950207;1
3DV;International Conference on 3D Vision;11;1;3;4;56;170;20;1;42,33333333;13,79275362;2
IJCNLP;International Joint Conference on Natural Language Processing;20;1;3;4;86;210;31;1;55,83333333;12,9245283;2
ALT;International Conference on Algorithmic Learning Theory;34;1;1;4;31;48;5;0;14,83333333;7,058823529;2
IAAI;Conference on Innovative Applications of Artificial Intelligence;29;0;1;2;30;87;0;1;20,16666667;7,030188679;2
AAMAS;International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000);22;1;1;1;283;630;88;0;167,1666667;6,893820225;2
IJCAR;International Joint Conference on Automated Reasoning;23;1;3;3;59;105;10;0;30;6,874524715;2
EUROGP;European Conference on Genetic Programming;26;1;1;4;18;37;2;1;10,5;6,766233766;2
ESWC;Extended Semantic Web Conference (was European Semantic Web Conference);20;1;1;4;33;108;11;0;26,16666667;6,718911917;2
VISSOFT;IEEE International Working Conference on Software Visualisation;22;1;2;3;12;23;1;1;7;6,562189055;2
ICCC;International Conference on Computational Creativity;14;1;1;5;33;94;8;1;23,66666667;6,456521739;2
CEC;IEEE Congress on Evolutionary Computation;25;1;1;2;312;643;77;0;207;6,368742369;2
ACII;International Conference on Affective Computing and Intelligent;19;1;2;3;126;304;59;1;82,5;6,341463415;2
ACML;Asian Conference on Machine Learning;13;0;1;2;30;78;3;0;19;6,039473684;2
CPAIOR;International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems;20;1;1;2;31;66;5;0;17,5;5,950867052;2
PPSN;Parallel Problem Solving from Nature;34;1;2;2;64;224;5;1;49,66666667;5,397959184;2
LREC;Language Resources and Evaluation;26;1;2;7;212;519;79;0;163,8;5,368698865;3
ALIFE;International Conference on the Simulation and Synthesis of Living Systems;30;0;2;1;26;33;4;1;11,16666667;5,343283582;3
VCIP;The Visual Communications and Image Processing Conference;34;1;3;1;169;382;35;1;98,5;4,088715401;3
MMSP;IEEE International Workshop on Multimedia Signal Processing;27;1;1;5;95;220;26;1;58;3,686427457;3
ICVS;International Conference on Computer Vision Systems;25;1;3;1;32;111;9;0;26;3,73877551;3
IWANN;International Work-Conference on Artificial and Natural Neural Networks;33;1;2;1;58;133;16;1;35,16666667;3,569117647;3
HIS;International Conference on Hybrid Intelligent Systems;21;0;1;2;52;110;7;1;28,83333333;3,565656566;3
ECSQARU;European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty;33;1;2;2;57;101;5;0;33,4;3,542168675;3
EMAS;International Workshop on Engineering Multi-Agent Systems;11;1;1;3;22;76;26;1;21,5;3,505747126;3
UIC;International Conference on Ubiquitous Intelligence and Computing;18;1;1;4;118;367;24;1;85,83333333;3,505343511;3
ICIAR;International Conference on Image Analysis and Recognition;17;0;1;2;107;256;19;1;64,33333333;3,424444444;3
PRIMA;International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents);26;1;1;1;13;26;0;0;6,833333333;3,391774892;3
AIMSA;International Conference on Artificial Intelligence: Methodology, Systems, Applications;35;0;2;2;27;63;1;1;16;3,288288288;3
DS;International Conference on Discovery Science;26;1;1;2;68;169;7;1;41,33333333;3,20795107;3
ISVC;International Symposium on Visual Computing;19;1;1;4;95;255;15;1;61,83333333;3,200665188;3
ICCBR;International Conference on Case-Based Reasoning;29;1;3;2;52;100;8;1;27,66666667;3,070886076;4
FSKD;International Conference on Fuzzy Systems and Knowledge Discovery;17;0;1;3;159;349;31;1;90,66666667;2,487406716;4
KES AMSTA;International KES Symposium on Agents and Multiagent systems - Technologies and Applications;15;0;1;4;110;301;23;0;73,16666667;2,477211796;4
MDAI;International Conference on Modelling Decisions for Artificial Intelligence;20;1;1;2;30;68;8;1;18,33333333;2,448905109;4
GrC;IEEE International Conference on Granular Computing;10;0;1;6;157;345;41;1;91,83333333;2,418219462;4
ICCCI;International Conference on Computational Collective Intelligence;15;1;1;3;74;171;10;1;43,33333333;2,418181818;4
ISNN;International Symposium on Neural Networks;17;0;1;3;329;883;106;1;220,5;2,114864865;4
ICAART;International Conference on Agents and Artificial Intelligence;15;1;1;3;99;282;16;0;66,83333333;2,04302397;4
ICNC;International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery;16;0;1;3;504;1411;72;1;332;1,968891403;4
PSIVT;Pacific-Rim Symposium on Image and Video Technology;14;0;3;2;135;380;42;1;93,83333333;1,887788779;4
IJCRS (was RSCTC);International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others);22;0;3;2;87;138;18;1;41,5;1,797909408;4
VCIP;IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011);34;1;1;1;169;382;35;1;98,16666667;1,757009346;4
CDVE;Cooperative Design, Visualization, and Engineering;20;1;1;1;28;79;8;1;19,66666667;1,326086957;4
IDC;Intelligent Distributed Computing;17;1;3;2;34;90;6;1;22,66666667;1,181818182;4
ICAI;International Conference on Applied Informatics;6;1;1;3;27;72;13;1;19,5;0,867452136;4
IEEE VIS;IEEE Visualization;32;0;1;1;54;120;1;1;29,66666667;0,785123967;4
